	Title	Location	Company	Salary	Synopsis	mean_annual_salary
753	Senior Data Analyst	Boston, MA 02116 (Back Bay area)	Mass Dept of Transportation	$66,683 - $98,337 a year	Perform assigned tasks involving data analyses, reporting, and dashboards.Advise on best practices for data structure and analysis to communicate key messages…	82510.0
754	Data Science Manager - Public Sector Environment & Climate P...	Cambridge, MA	Abt JTA	$105,000 - $168,000 a year	Provide data science/analytics leadership on public-sector environmental projects.Be accomplished in a professional service setting where they are bringing…	136500.0
755	Senior Data Scientist	Boston, MA	Genpact	$120,000 - $140,000 a year	Conduct explanatory data analysis and prepare data sources to be analyzed.Think strategically about data as a core enterprise asset and assist in all phases of…	130000.0
756	Data Engineer - Data Pipelines & Data Science Platforms	Cambridge, MA 02138 (West Cambridge area)	S&P Global	$68,300 - $155,900 a year	Working with our data scientists to turn large-scale messy, diverse, and often unstructured data into a source of meaningful insights for our customers.	112100.0
757	Senior Data Analyst - Financial	Boston, MA 02116 (Back Bay area)	Massachusetts Bay Transportation Authority	$75,170 - $100,260 a year	Bachelor’s degree in mathematics, statistics, data analytics.The Senior Data Analyst - Financial partners closely with IT architect data structure for assigned…	87715.0
758	Harvard Postdoctoral (Postdoc) Job in Machine Learning for E...	Temporarily Remote in Boston, MA	Schepens Eye Research Institute, Massachusetts Eye...	$50,000 - $55,000 a year	In the course of this interdisciplinary project, you will collaborate with a team of world-class scientists and clinicians with backgrounds in visual…	52500.0
759	Data Science Manager - Public Sector Environment & Climate P...	Cambridge, MA	Abt Associates	$105,000 - $168,000 a year	Provide data science/analytics leadership on public-sector environmental projects.Be accomplished in a professional service setting where they are bringing…	136500.0
760	Polymer Physicist/Mathematician	Hybrid remote in Boston, MA 02128	Cybertech Inc	Up to $80,000 a year	Background in mathematics and demonstrated experience in data filtering and regression.Simulate compression of various types of membrane filters.	80000.0
761	Senior Manager, Statistical Programming	Boston, MA	Takeda Pharmaceutical	$124,000 a year	Exhibits awareness and relevance of best practices related to data sharing.Excellent communicator, able to convey both complex ideas and data, verbally and in…	124000.0
762	SDE, Alexa AI Analytics, SDE, Gale, Alexa AI-Natural Underst...	Cambridge, MA	Amazon.com Services LLC	$122,200 - $160,000 a year	Experience with data modeling, data warehousing, and building ETL pipelines.You will be responsible for data pipelines, data warehousing, and future-looking…	141100.0
763	Principal Deep Learning Engineer/Research Scientist	Remote in Boston, MA 02210+1 location	Motional	$172,020 a year	Experience working with large data sets.Research and develop neural networks for perception and prediction problems such as object detection, instance…	172020.0
764	Senior Machine Learning Engineer - Computer Vision, C++ (Rem...	Remote in Boston, MA+2 locations	Motional	$172,020 a year	Research and develop neural networks for perception problems such as object detection, instance segmentation, sensor fusion, traffic light detection etc.	172020.0
765	Lead Machine Learning Engineer	Remote in Boston, MA 02108	S&P Global	$83,200 - $190,100 a year	The candidate will develop solutions to process alternative data from structured and unstructured sources, generate meaningful data classifications and text…	136650.0
766	Artificial Intelligence Software Engineer	Boston, MA 02210 (South Boston area)	Autonodyne LLC	$85,000 - $110,000 a year	You’ve coded - you are comfortable in object-oriented languages like C#, C++, or Java; you have a solid grasp of algorithms, data structures, and design…	97500.0
767	Senior Manager, Decision Science, Commercial Pharma	Boston, MA	Frannie jobs	$115,000 - $165,000 a year	Lead a team of data scientists/consultants or a cross-functional data science/data engineering team to deliver Decision Science consulting projects.	140000.0
768	Data and AI Engineer, Principal	Remote in Boston, MA 02210	PTC Inc.	$97,000 a year	5+ years of experience with data and AI technologies.Familiarity with other modern data stack technologies (e.g., Fivetran, DBT, Snowflake, Firebolt).	97000.0
769	Director, Statistical Programming	Hybrid remote in Boston, MA 02112	Takeda Pharmaceutical	$224,000 - $313,000 a year	Excellent communicator, able to persuasively convey both ideas and data, verbally and in writing.BA/BS in data science, statistics or a related field with…	268500.0
770	Senior DevOps Engineer, Machine Learning (Remote)	Remote in Boston, MA	Motional	$172,020 a year	Work closely with robotics research and software engineers specialized in Machine Learning, Data, Motion Planning and Controls to identify places where data…	172020.0
771	Senior ML Engineer - Stealth, Fully Funded (50M+) Biomed AI...	Boston, MA 02114 (Back Bay-Beacon Hill area)	CyberCoders	$100,000 - $175,000 a year	Online (real-time) and offline data collection from wearable sensors.Through decades of research, we are introducing a consumer wearable that measures a…	137500.0
772	Associate Principal Statistical Programmer | Remote	Remote in Boston, MA	Warman O'Brien	Up to $145,000 a year	Using your previous experience of statistical programming, you will lead the creation and validation of multiple statistical programs.	145000.0
773	Data Scientist II (Open to Remote)	Remote in Boston, MA 02298	Homesite Insurance	Up to $190,500 a year	Work with fellow data scientists and developer teams to translate models to business solutions and collaborate with other departments in the company when…	190500.0
774	Senior Data Scientist	Remote in Boston, MA 02127+1 location	CyberCoders	$150,000 - $170,000 a year	Develop our data science function.Experience with structured/unstructured data sources.RSUs, Annual Bonus, 401(k), Unlimited PTO.	160000.0
775	Python Engineer for $ backed AI start up !	Remote in Boston, MA 02127	CyberCoders	$120,000 - $170,000 a year	The ideal candidate will have experience building data-centric apps leveraging machine learning and a passion for using artificial intelligence to help solve…	145000.0
776	Lead Data Scientist	Cambridge, MA 02138 (West Cambridge area)	S&P Global	$83,200 - $190,100 a year	We are seeking talented data scientists to join our team.Our data scientists work with highly complex, often unstructured, multidimensional data from dozens of…	136650.0
777	Research Data Analyst	Sudbury, MA 01776	Groe Advisors	$80,000 - $150,000 a year	Data using data science programming languages.BS degree in Biomedical Engineering, Computer.Science, Health-related sciences, or related fields.	115000.0
778	Statistician	Boston, MA	Costello Medical	$67,000 - $70,000 a year	The statistical analysis varies across patient-level clinical trial data, observational study data, real-world data and published aggregate data, and involves a…	68500.0
779	Senior Data Scientist at Rent-to-Own Startup	Remote in Boston, MA 02199+3 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	155000.0
780	Data Analyst - Drone team	Boston, MA 02134 (Allston area)	MassAutonomy	$70,000 - $100,000 a year	In this role, the analyst will work with a data scientist and end users to ensure data requirements are met and to execute analytic solutions to deliver…	85000.0
781	Analyst II, Data Science	Remote in Boston, MA 02116	Liberty Mutual Insurance	$91,600 - $152,000 a year	Utilize current and emerging data science techniques to manipulate large structured and unstructured data sets, identify patterns in raw data, and develop…	121800.0
782	Machine Learning Engineer / Senior Machine Learning Engineer	Cambridge, MA+1 location	Modulate	$125,000 a year	Analyze model performance across large amounts of in-domain data.We are looking for talented engineers who can employ their technical skills in speech…	125000.0
783	Director, Statistical Programming	Hybrid remote in Boston, MA	Takeda Pharmaceutical	$224,000 - $313,000 a year	Excellent communicator, able to persuasively convey both ideas and data, verbally and in writing.BA/BS in data science, statistics or a related field with…	268500.0
784	Senior Data Scientist, ESG Innovation and Solutions	Boston, MA 02110 (Central area)	S&P Global	$82,600 - $230,200 a year	Demonstrated skills in data and project management.Proven experience managing analysis / data science teams.Experience working with GIS systems and geospatial…	156400.0
785	Data Science Manager - Public Sector Environment & Climate P...	Cambridge, MA	Abt Associates	$105,000 - $168,000 a year	Data Analytics Manager â€“ Public Sector Environment and Climate Programs Abt Associates seeks a Data Science Manager to work with Abtâ€™s Environment and…	136500.0
786	Senior Data Analyst - Financial	Boston, MA 02116 (Back Bay area)	Massachusetts Bay Transportation Authority	$75,170 - $100,260 a year	Salary $75,170.00 - $100,260.00 Annually Location 10 Park Plaza, Boston Job Type Full-Time Department MBTA - Budget Job Number 22-18496 Closing 5/16/2022 11…	87715.0
787	Senior Machine Learning Research Engineer, Tracking	Remote in Boston, MA 02210+2 locations	Motional	$172,020 a year	Experience applying ML models to process temporal sequence data.Collaborate with other teams, including object detection, planning-control, ML data service and…	172020.0
788	Data Plane Engineer	Remote in Boston, MA 02109+3 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	170000.0
789	Senior Machine Learning Engineer - Computer Vision, C++ (Rem...	Remote in Boston, MA	Motional	$172,020 a year	Research and develop neural networks for perception problems such as object detection, instance segmentation, sensor fusion, traffic light detection etc.	172020.0
790	Machine Learning Engineer, Platform	Remote in Boston, MA 02109+3 locations	Recruiting From Scratch	$150,000 - $190,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	170000.0
791	Principal ML & NLP Engineer	Remote in Boston, MA 02109+3 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
792	Data Scientist	Remote in Denver, CO 80238	CyberCoders	$100,000 - $110,000 a year	Data Scientist If you are a Data Scientist with experience, please read on! Top Reasons to Work with Us 1. We have a great collaborative team culture and we…	105000.0
793	Data Scientist, Economic and Policy Research	Hybrid remote in Boulder, CO 80309	University of Colorado Boulder	$65,000 - $80,000 a year	Job Summary The Leeds School of Business at the University of Colorado Boulder encourages applications for a Data Scientist of Economic and Policy Research.…	72500.0
794	Data Scientist	Denver, CO	AT&T	$75 - $85 an hour	*Data Scientist* *Client: DOT FOODS* *Location: Onsite in Denver, CO* *Minimum Exp: 10+ yrs.* *Need senior candidate* *Data Scientist - Advanced Analytics…	160000.0
795	Data Scientist	Remote in Boulder, CO 80302	Techstars	$125,000 - $175,000 a year	Techstars seeks an experienced Data Scientist to join a growing team of investment professionals shaping our fund and investment strategy in support of…	150000.0
796	Staff Data Scientist	Remote in Denver, CO	DispatchHealth	$180,000 - $210,000 a year	Company Description We are building the world's largest in-home care system. Healthcare is rapidly moving into the home, creating an enormous market…	195000.0
797	Data Assimilation / Machine Learning Scientist	Remote in Boulder, CO+1 location	Tomorrow.io	$100,000 - $160,000 a year	The tomorrow.io space numerical weather prediction (NWP) and data assimilation (DA) R&D department is a group of scientists, mathematicians, and engineers. We…	130000.0
798	Data Scientist	Remote in Denver, CO	GutCheck	$90,000 - $110,000 a year	The Opportunity GutCheck has a portfolio of cutting-edge research products and we are taking it to the next level. We are looking for a Data Scientist to…	100000.0
799	Data Scientist	Remote in Denver, CO 80202	Switchfly	$110,000 - $130,000 a year	*\*\*REMOTE CANDIDATES IN MOUNTAIN TIME ZONE WILL BE CONSIDERED\*\** Imagine loving what you do and where you do it! At Switchfly, the Data Scientist will…	120000.0
800	Data Scientist (3-5 years experience)	Broomfield, CO	DataLab USA	$75,000 - $100,000 a year	DataLab USA_™_ is an analytics and technology driven database marketing consultancy. We combine sophisticated technology, cutting edge analytics and an…	87500.0
801	Data Scientist - Utility Reliability (Jr - Sr) - REMOTE	Hybrid remote in Denver, CO	E Source	$75,000 - $100,000 a year	Are you a data scientist looking to join an industry-leading team? E Source develops groundbreaking data science applications that change the way utilities…	87500.0
802	Senior Data Scientist	Remote in Denver, CO	Snapdocs	$153,850 - $178,750 a year	Snapdocs is a rapidly growing company backed by investors like Sequoia, Y Combinator, F-Prime and Tiger Global. We're an innovative team taking on the…	166300.0
803	Machine Learning Engineer	Boulder, CO 80303 (Southeast Boulder area)	Earable, Inc.	From $100,000 a year	Work with data scientists, software engineers and firmware engineers to efficiently deploy machine learning algorithms for Earable’s neuro-wearables.	100000.0
804	Front End Engineer, MADS- Measurement and Data Science	Boulder, CO	Amazon.com Services LLC	$93,800 a year	Professional non-internship experience with front end, web or mobile software development using JavaScript, HTML and CSS.	93800.0
805	Data Science Team Lead	Temporarily Remote in Boulder, CO 80301+1 location	Delve	$120,000 - $140,000 a year	2+ years managing a small team of high performing data scientists.Managing, coaching, and holding accountable data scientist in developing and deploying cloud…	130000.0
806	Senior Data Scientist/Machine Learning Engineer	Remote in Boulder, CO 80305+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	170000.0
807	SVP, Data Foundation, Strategy & Analytics	Boulder, CO	Zayo Group	$230,000 - $275,000 a year	This role oversees a range of data-related functions that may include data management, ensuring data quality and creating data strategy.	252500.0
808	SDE- Measurement & Data Science- 2021	Boulder, CO	Amazon.com Services LLC	$122,200 - $160,000 a year	Experience in databases, analytics, big data systems or business intelligence products.Amazon is applying the latest machine learning and big data technologies…	141100.0
809	Sr. Product Manager, Machine Learning	Boulder, CO 80301	Workday	$130,600 a year	Proficient with analytics query languages and data analysis tools.Work backwards from feature adoption metrics to identify functional gaps, user experience…	130600.0
810	Senior Research Engineer, Machine Learning (ASR)	Boulder, CO	SoundHound Inc.	$136,500 - $169,500 a year	You are humble and data-driven when making decisions.Lead high-impact machine learning projects.Focus on production-driven research that requires ground…	153000.0
811	Sr. Data & ML Engineer	Denver, CO+2 locations	Amazon Web Services, Inc.	$122,300 - $160,000 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.	141150.0
812	Director of Machine Learning and Engineering, Natural Langua...	Boulder, CO+1 location	SoundHound Inc.	$195,000 a year	Own and evolve various NLP related tools that are used internally to manually curate text data.You will have an opportunity to combine your management…	195000.0
813	AI Engineer	Boulder, CO 80301	QSC, LLC	$90,000 - $112,000 a year	The AI engineer will focus on computer vision, deep learning, and audio problems.Source, evaluate, and tune AI models for video and audio.	101000.0
814	Sr Machine Learning Engineer	Boulder, CO 80301+2 locations	Workday	$160,000 a year	Design and develop a product in a development environment where decisions are based on data.Experience with JSON, Avro, and other data structures and…	160000.0
815	Sr. Data Analyst	Hybrid remote in Boulder, CO	CE Broker	$80,000 - $115,000 a year	5+ years experience mining data and teeing insights as a data analyst or business analyst.Develop and maintain databases by acquiring data from primary and…	97500.0
816	Principal ML & NLP Engineer	Remote in Boulder, CO 80305	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	170000.0
817	Postdoctoral Researcher – Mathematical Optimization for Ener...	Golden, CO 80401	National Renewable Energy Laboratory	$69,400 - $114,500 a year	Posting Title Postdoctoral Researcher – Mathematical Optimization for Energy Systems . Location CO - Golden . Position Type Postdoc (Fixed Term) .…	91950.0
818	Principal ML & NLP Engineer	Remote in Boulder, CO 80305	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…	170000.0
819	Principal - Data Engineering - Data Engineering	Denver, CO	Credera	$190,000 - $276,000 a year	Principal - Data Engineering Data EngineeringDenver Description As a Principal Architect, you will serve in an integral role in the company to support the…	233000.0
820	AI Engineer	Denver, CO 80202 (Lodo area)	VORTO	$120,000 - $190,000 a year	About VORTO We are building software which enables businesses to be more economically and environmentally sustainable by digitally transforming the supply…	155000.0
821	Big Data Engineer - PySpark	Denver, CO	Logic20/20 Inc.	From $75,000 a year	Company Description We’re a six-time “Best Company to Work For,” where intelligent, talented people come together to do outstanding work—and have a lot of…	75000.0
822	Manager, Marketing Analytics - Industry, Marketing Decision...	Denver, CO	Salesforce	$104,000 - $117,000 a year	To get the best candidate experience, please consider applying for a maximum of 3 roles within 12 months to ensure you are not duplicating efforts. Job…	110500.0
823	Software Development Engineer II, Machine Learning Platform...	Louisville, CO	Amazon.com Services LLC	$122,200 - $160,000 a year	· 2+ years of non-internship professional software development experience · Programming experience with at least one modern language such as Java, C++, or C#…	141100.0
824	CIRES/ Earth Lab Software Developer	Boulder, CO 80309 (Colorado University area)+6 locations	University of Colorado Boulder	$68,000 - $102,000 a year	Bachelor’s degree or higher in the computer sciences or related fields with strong programming experience collaborating with data scientists.	85000.0
825	Clean Fleet Enterprise Program Specialist	Denver, CO 80203 (North Capitol Hill area)	State of Colorado Job Opportunities	$4,838 - $7,082 a month	Ability to analyze data and provide recommendations.The Air Pollution Control Division is recruiting for an environmental scientist located in the…	71520.0
826	(Senior) Principal Scientist	Boulder, CO	Cogent Biosciences	$120,000 - $150,000 a year	Develop hypotheses based on data and design experiments to test these hypotheses.Independently lead the design, planning and implementation of laboratory…	135000.0
827	Quality Analytical Scientist	Louisville, CO 80027	Solid Power	$72,000 - $125,000 a year	Work closely with Quality Manager to document test procedures, design experimentation, and analyze experimental data.Salary Range: $72,000 - $125,000year.	98500.0
828	VP, Data Operations Transformation Lead	Denver, CO 80201	S&P Global	$180,000 - $411,300 a year	You will be tasks to work with managers across our data and engineering organizations to develop the vision and strategy for a highly automated organization…	295650.0
829	Geothermal Scientist/Analyst	Golden, CO 80401+2 locations	National Renewable Energy Laboratory	$108,600 - $195,500 a year	This person will perform engineering/economic analyses of geothermal systems and electric transmission in cooperation with research community to gather and…	152050.0
830	Data Systems Software Engineer III	Boulder, CO 80309 (Colorado University area)	University of Colorado Boulder	$89,600 - $116,500 a year	Support scientists in developing algorithms and producing and analyzing data products.Support science data center capabilities for new and on-going missions.	103050.0
831	Clinical Pharmacist Specialist	Remote in Denver, CO	Evio	$130,000 - $190,000 a year	Experience in working with data scientists in the development of real-world evidence case.Contribute in the design of real-world data analysis by applying…	160000.0
832	Lead Research Associate	Boulder, CO 80301	Bio-Rad Laboratories, Inc.	$70,000 - $90,000 a year	Familiarity with computer techniques and software used for data entry and analysis (Excel, Python, MatLab, JMP or other data analysis platform experience…	80000.0
833	Entry-Level Geologist	Hybrid remote in Denver, CO 80238+1 location	AECOM	$75,094 a year	+ Compiling and evaluating site-related geological, geophysical, hydrogeologic and environmental data.+ Assisting with field work (e.g., groundwater sampling).	75094.0
834	Administrative Assistant III	Boulder, CO 80305 (Central Boulder area)	University Corporation for Atmospheric Research	$48,424 - $78,689 a year	EOL deploys its systems for research by scientists from universities, NCAR, and government agencies.The mission of EOL is to provide leadership in observing…	63556.5
835	EOL ISF Technician II/III	Boulder, CO 80305 (Central Boulder area)	University Corporation for Atmospheric Research	$52,056 - $84,591 a year	EOL deploys its systems for research by scientists from universities, NCAR, and government agencies.Performs mechanical and electrical assembly of tower…	68323.5
836	Geologist	Remote in Golden, CO	US Geological Survey	$122,941 - $159,823 a year	At this level, Geologists typically represent an authoritative source of consultation for other scientists and program specialists, are called upon to resolve…	141382.0
837	CIRES/ NOAA GML Electronics Technician/Engineer Associate Sc...	Boulder, CO 80305 (Central Boulder area)	University of Colorado Boulder	$60,000 - $100,000 a year	Developing new innovative data acquisition systems and maintaining existing data acquisition systems.Firmware, instrument, datalogger programming for existing…	80000.0
838	QC Associate Scientist, Microbiology (SHIFT LEAD)	Boulder, CO	AGC Biologics	$78,083 - $93,700 a year	Perform data verification and data entry.The individual in this role will also review data, author reports, and support laboratory instrument validation as…	85891.5
839	Quality Technician	Louisville, CO 80027	Solid Power	$45,000 - $82,000 a year	Work closely with Quality Engineer and Analytical Scientist to document test procedures, design experimentation, and analyze experimental data.	63500.0
840	Principal Software Development Engineer	Boulder, CO 80301	Workday	$158,080 a year	Develop relationships with software engineers, machine learning engineers, and data scientists on partner teams.Respond to alerts and debug production issues.	158080.0
841	Flight Engineer	Broomfield, CO	University Corporation for Atmospheric Research	$64,670 - $105,089 a year	Gathers data for trend monitoring and assists with compliance monitoring and reporting.EOL deploys its systems for research by scientists from universities,…	84879.5
842	Software Engineer, Sensors Infrastructure	Boulder, CO	Verily	$142,000 a year	Ensure data consistency and availability for data types from many different sensors and devices.The SensorSuite team provides microservices for device…	142000.0
843	CAD Drafter	Remote in Arvada, CO	Tetra Tech	$31,200 a year	This position would assist Designers in preparing data for various stages during a project.Draftsman generally have 0-5 years of continuous drafting experience…	31200.0
844	Biologist	Golden, CO 80401+1 location	Tetra Tech	$45,000 a year	Demonstrated ability to perform data analyses, compile data, and write technical documents.The position requires proficiency in task management, including data…	45000.0
845	Supervisory Chemist	Remote in Lakewood, CO 80225	US Geological Survey	$122,941 - $159,823 a year	Serving as senior scientist responsible for assisting in the development of the strategic vision for the laboratory.You must be U.S. Citizens.	141382.0
846	Software Engineer	Remote in Boulder, CO	Tomorrow.io	$100,000 - $150,000 a year	We also focus on making everything become a weather station (from cars to microwave links to IoT devices).Every product that the user sees is the result of a…	125000.0
847	Postdoctoral Researcher – Mathematical Optimization for Ener...	Golden, CO 80401	National Renewable Energy Laboratory	$69,400 - $114,500 a year	Postdoctoral Researcher – Mathematical Optimization for Energy Systems.Mandatory COVID-19 Vaccination Protocols.Experience with Pyomo and/or JuMP.	91950.0
848	AI Engineer	Denver, CO 80202 (Lodo area)	VORTO	$120,000 - $190,000 a year	This role is roughly 80% software engineering and 20% data science.We are building software which enables businesses to be more economically and…	155000.0
849	Big Data Engineer - PySpark	Denver, CO	Logic20/20 Inc.	From $75,000 a year	The Logic20/20 Advanced Analytics team is where skilled professionals in data engineering, data science, and visual analytics join forces to build simple…	75000.0
850	Software Engineer - Data Infrastructure	Remote in Boulder, CO 80305	Recruiting From Scratch	$100,000 - $200,000 a year	Gathering and understanding internal data requirements, working in the team to achieve high-quality data ingestion and build systems that can process the data…	150000.0
851	Staff Consultant - Payload Engineering Mission Architect/Chi...	Boulder, CO 80301	Ball Aerospace	$163,000 - $205,500 a year	This position is for an experienced engineer, scientist or physicist to provide engineering leadership across multiple mission areas for payload development…	184250.0
852	Quantinuum - Software Engineer – Quantum Lab Support	Broomfield, CO 80021 (Interlocken area)	Honeywell	$80,000 - $160,000 a year	Demonstrated ability to work with multiple data representations and data structures.Design and develop software solutions that integrate and automate our…	120000.0
853	Strategy and Transactions - EY Parthenon - Digital - Directo...	Denver, CO 80202 (Central Business District area)	EY	$200,000 - $215,000 a year	Ability to develop strategy frameworks to guide multidisciplinary teams that include design thinkers, data scientists, industry and functional teams and…	207500.0
854	Data Engineer - ETL - (Remote) - Aegis Premier Technologies	Remote in Westminster, CO 80021	Aegis Premier Technologies	$65,000 - $75,000 a year	Ensure data is in usable formats for data queries and predictive analytics, machine learning and data mining.Build Data Expertise and OWN data quality.	70000.0
855	22-108 Meteorological Data Systems Programmer/Analyst	Hybrid remote in Boulder, CO	Colorado State University	$80,000 - $110,000 a year	Work with the DSG Technical Lead and GSL’s research scientists and application developers to establish requirements for new data services.	95000.0
856	Solutions Consultant, Financial Services and Insurance (Nort...	Denver, CO	Dataiku Misc Postings	$150,000 a year	Dataiku is the platform for Everyday AI, systemizing the use of data for exceptional business results.Your role will be key in supporting the accelerated…	150000.0
857	Mid-Senior Level Graphic Artist	Denver, CO	HDR	$79,000 - $85,000 a year	Strong emphasis on data-driven and information design.Your designs will positively impact the communities we support by making technical information easy to…	82000.0
858	Postdoctoral researcher-sustainable Aviation Fuel Production	Golden, CO 80401	National Renewable Energy Laboratory	$69,400 - $114,500 a year	Critical analysis of reaction and characterization data and formatting for manuscripts and presentations.Operation of fluidized, packed bed, and pressurized…	91950.0
859	Senior Site Reliability Engineer at Rent-to-Own Home Startup	Remote in Boulder, CO 80305+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have worked in environments where you were responsible for understanding and ensuring the reliable operation of deployments from end-to-end (front-end to…	155000.0
860	Product Analyst	Hybrid remote in Denver, CO	AirDNA	From $100,000 a year	Working knowledge of using Python for data analysis.Experience working with data from user behavior platforms like Segment, Heap, and Google Analytics.	100000.0
861	Environmental Database Manager	Hybrid remote in Denver, CO 80238	AECOM	$53,427 - $93,497 a year	Coordinate with other project team members for environmental sampling event planning, electronic field data collection, laboratory data management and…	73462.0
862	Staff Environmental Engineer or Scientist (Entry Level)	Denver, CO	ERM Group	$50,000 - $65,000 a year	Effective written/verbal communication and organization/analytical skills; experience recording/writing detailed technical data and reports a plus.	57500.0
863	Respiratory Therapist - Night Shift	Broomfield, CO+2 locations	Children's Hospital Colorado	$27.37 - $41.05 an hour	Uses data to monitor the outcomes of care processes and use improvement methods to design and test changes to continuously improve the quality and safety of…	68420.0
864	Remote Sensing & Geospatial Analyst - REMOTE	Hybrid remote in Denver, CO	E Source	$75,000 - $130,000 a year	We're looking for a geospatial and remote-sensing data scientist to collaborate on the development of ground-breaking data science applications that change the…	102500.0
865	Graphic Design Lead – Professional III	Golden, CO 80401	National Renewable Energy Laboratory	$69,400 - $114,500 a year	Create clear and concise story-driven data visualizations in support of projects as required.Department of Energy (DOE) safety protocols and mitigation efforts…	91950.0
866	Senior Ecologist - Wildlife Specialist	Denver, CO 80202 (Lodo area)	Matrix Design Group, Inc	$80,000 - $100,000 a year	Strong background in environmental data management and analysis.Experience with providing data deliverables contract/client-specified format.	90000.0
867	Senior Strategic Communications Coordinator	Denver, CO	HDR	$83,200 - $93,600 a year	Coordinating project-related data gathering and analysis.In the role of Senior Strategic Communications Coordinator, you’ll be responsible for managing…	88400.0
868	Geologist, Environmental Scientist, Field Technician	Denver, CO	Vista Geoscience	$17 - $30 an hour	Writing project data summary reports.Vista GeoScience offers a diverse range of environmental site investigation and remediation services to our clients along…	47000.0
869	Civil Engineer I	Hybrid remote in Denver, CO 80238+1 location	AECOM	$53,427 - $73,462 a year	+ Collects and analyzes data under the supervision of an experienced engineer.+ Builds analytic and design skills.+ Must have a valid driver’s license.	63444.5
870	Software Engineer	Boulder, CO 80301	Uplight	$100,000 - $120,000 a year	Experience building data pipelines or ETL/ELT processes.Experience with Apache Airflow, Spark, Databricks or other data engineering tools.	110000.0
871	Senior Laboratory Specialist	Boulder, CO	Ricoh	$31 - $36 an hour	Interpreting, and reducing data or observations.Records and organizes technical data and observation.Assist engineers, scientist or senior specialist by…	67000.0
872	Mechanical Engineer	Denver, CO	Exponent	$110,000 - $125,000 a year	Experience with data collection tools such as data acquisition systems, measurement tools, accelerometers, and/or load cells.You will be responsible for:	117500.0
873	Demand Generation Marketing Specialist	Broomfield, CO	IKE GPS	$65,000 - $90,000 a year	Strong analytical skills and data-driven thinking.Automate and improve data integrity and data management initiatives, including segmentation implementation…	77500.0
874	Researcher II – Engineering Electrochemical Conversion Devic...	Golden, CO 80401	National Renewable Energy Laboratory	$68,000 - $112,200 a year	Processing and analyzing data and reporting to team members.Experience with operating electrochemical testing equipment and subsequent data processing and…	90100.0
875	Project Planning & Scheduling Specialist I	Hybrid remote in Denver, CO 80238	AECOM	$70,000 - $115,000 a year	+ Supports data gathering and produces an initial analysis for schedule baseline development and maintenance data gathering.+ Certified PMP or MBA is a plus.	92500.0
876	Mid-Level Field Environmental Scientist / GIS Analyst	Denver, CO 80225	TechLaw	$40,000 - $50,000 a year	Operation of GPS and electronic data collection devices.Collect field data using Global Positioning Systems (GPS) and mobile applications.	45000.0
877	Senior Director, Cardiometabolic Diseases	Broomfield, CO 80021	Inotiv	$170,000 - $225,000 a year	Recognizes fundamental anomalies in data points, inconsistent results, and identifies issues in experiments.Responsible for collection, documentation, analysis…	197500.0
878	Quality Manager	Louisville, CO 80027	Solid Power	$89,000 - $152,000 a year	Preparing reports by collecting, analyzing, and summarizing data.Analyzes data by completing hypothesis, normal distribution, and process capability analysis…	120500.0
879	Principal Geophysicist	Golden, CO 80401+1 location	Tetra Tech	$130,000 - $180,000 a year	Performing survey design, field acquisition oversight, data processing, interpretation, and reporting.Advanced skills and demonstrated ability to develop…	155000.0
880	Product Manager	Hybrid remote in Denver, CO	AirDNA	From $110,000 a year	Experience in a data-focused role (SQL knowledge, familiarity with data pipelines, web development, event analytics).12 weeks of paid parental leave.	110000.0
881	Estimator II - Junior Estimator (Remote)	Remote in Denver, CO 80238	AECOM	$65,000 - $75,000 a year	+ Execute work plans and task definition, participate in data collection.AECOM is searching for candidates that have the ability to be a role model, be client…	70000.0
882	Analytics Engineer	Westminster, CO 80031	Resi Media	$70,000 - $90,000 a year	0-2+ years of relevant experience which includes demonstrated ability to conduct exploratory data analysis, manipulate data sets and build statistical models to…	80000.0
883	Senior Backend Engineer	Remote in Boulder, CO 80305	Recruiting From Scratch	$140,000 - $200,000 a year	Experiment, prototype, measure, and make data-driven technology stack decisions.Have strong software engineering experience and a firm grasp of CS fundamentals…	170000.0
