	Title	Location	Company	Salary	Synopsis	origin	mean_annual_salary
783	Data Science Practitioner	Remote in Baltimore, MD	Seneca Resources	$88,110 - $174,230 a year	Ability to draw insights from sparsely labeled textual data.Provide data-driven approaches to tackle various business and NLP problems.	Baltimore	131170.0
784	Data Scientist	Annapolis Junction, MD 20701	Erias Ventures LLC	$150,000 - $245,000 a year	This position involves working collaboratively with system engineers, software engineers, and analytic engineers to analyze and visualize complex data sets.	Baltimore	197500.0
785	Data Scientist	Fort Meade, MD 20755	Ops Tech Alliance	$105,000 - $250,000 a year	Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming,…	Baltimore	177500.0
786	Sr. Data Scientist	Owings Mills, MD 21117	Vision	Up to $120,000 a year	Explores data patterns using existing data science tools.Uses data to understand the data profile and its limitations and applies it to business solutions.	Baltimore	120000.0
787	1628 Data Scientist	Annapolis, MD	Infoorigin inc	$125,000 - $175,000 a year	The data scientist will help clients transform their business and solve complex problems using data-driven approaches and help to deliver projects using data…	Baltimore	150000.0
788	Data Scientist	Woodlawn, MD 21207	SOFTEK	$100,000 - $150,000 a year	Data manipulation and data engineering experience involving structured and unstructured data.Data manipulation expertise involving data extractions, data…	Baltimore	125000.0
789	Data Scientist - Internet Scale AdTech Data - REMOTE	Remote in Baltimore, MD	Amobee	From $79,400 a year	Experience with big data concepts and technologies, including Spark.Dig deep into high volumes of data, engineer features for improved forecast performance.	Baltimore	79400.0
790	DATA SCIENTIST	Fort Meade, MD 20755	US Defense Information Systems Agency	$106,823 - $138,868 a year	Assess data sources to determine the type of data available and how data imports can be made into other systems to reduce or eliminate manual reporting…	Baltimore	122845.5
791	Senior Data Scientist at Rent-to-Own Startup	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	Baltimore	155000.0
792	Data Scientist	Annapolis Junction, MD 20701	Accenture Federal Services	Up to $10,000 a month	Develop experiments to collect data or models to simulate data when required data are unavailable.Understand emerging machine learning and pattern recognition…	Baltimore	120000.0
793	Data Scientist - U.S. Citizenship required	Annapolis Junction, MD	TAA Solutions LLC	$78,223 - $205,337 a year	The data scientist will utilize their expertise in machine learning, statistical data analytics, and predictive analytics to help create and implement data…	Baltimore	141780.0
794	Senior Data Scientist	Annapolis Junction, MD 20701	AHP Global Enterprises LLC	$170,000 a year	Partner with subject matter experts to translate manual data analysis into automated analytics.Build models or develop experiments to generate data when…	Baltimore	170000.0
795	Data Scientist	Annapolis Junction, MD 20701	Accenture Federal Services	Up to $10,000 a month	Develop experiments to collect data or models to simulate data when required data are unavailable.Lead a team of data scientists in the development of multiple…	Baltimore	120000.0
796	Biostatistician	Baltimore, MD 21224 (Bayview area)	Johns Hopkins University	$53,020 - $72,930 a year	Interact with co-investigators to plan data analyses and interpret results.Perform data analysis and interpretation utilizing knowledge of programming and…	Baltimore	62975.0
797	Data Plane Engineer	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Who is Recruiting from Scratch:	Baltimore	170000.0
798	Statistician/Programmer	Beltsville, MD 20705	Information Management Services, Inc	From $55,000 a year	Develop statistical methods and data analysis procedures to analyze genomic studies, observational studies, intervention, trials, and laboratory studies.	Baltimore	55000.0
799	Director, Analytics, Data Science	Baltimore, MD 21201 (Downtown area)	Merkle	$158,000 - $198,000 a year	Deep experience in advanced analytics, audience data, and measurement is required.Consult on client business problems, drive analytic objectives, create…	Baltimore	178000.0
800	Head of Machine Learning - Document Analysis and NLP	Remote in Baltimore, MD 21201+11 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…	Baltimore	170000.0
801	Data Protection Lead (Remote eligible)	Remote in Woodlawn, MD	Mathematica Policy Research	$100,000 - $150,000 a year	Experience working with large, unstructured data sets containing protected data.Ability to apply data governance and data lifecycle management concepts to…	Baltimore	125000.0
802	Statistical Analyst	Towson, MD 21204	Baltimore County, MD	$52,400 - $65,267 a year	Experience with public safety terminology, operations, and data usage.The work of this classification is essentially sedentary and involves the frequent use of…	Baltimore	58833.5
803	Software Engineer II Machine Learning and AI	Annapolis Junction, MD	Prodigy One, LLC	$196,750 - $212,000 a year	We are focused on product usability and end user presentation to help our customers make the best decisions possible.Technology Fund - $1000 per year.	Baltimore	204375.0
804	Machine Learning Engineer	Annapolis Junction, MD 20701	Erias Ventures LLC	$150,000 - $245,000 a year	This position involves working collaboratively with system engineers, software engineers, and analytic engineers to analyze and visualize complex data sets.	Baltimore	197500.0
805	Analytics - Manager - Data Science	Columbia, MD 21046	Merkle	$121,000 - $151,000 a year	Extract and process large quantities of data from data warehouses and other data marts in support of assignments.Experience with media analytics a plus.	Baltimore	136000.0
806	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Baltimore	151000.0
807	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.	Baltimore	110000.0
808	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…	Baltimore	137500.5
809	Senior Supply Chain Data Analyst	United States	Logistics Plus Inc	$25 - $29 an hour	The Central Planning and Analytics (CPA) team provides analytical and project management.Services for DSPA Global and Regional Planning teams.	Baltimore	56160.0
810	Senior Consultant - AI/ML Engineer	United States	Harnham	$140,000 - $150,000 a year	You will also play a leadership role in modestly sized data teams.You will be responsible for delivering on client data science projects from end-to-end.	Baltimore	145000.0
811	Sr. Statistical Programmer Analyst	Remote in Baltimore, MD 21205	Johns Hopkins University	$59,280 - $81,430 a year	The Programmer will implement non-routine macros and advanced techniques to combine data from different data sources and databases as well as use advanced…	Baltimore	70355.0
812	Principal ML & NLP Engineer	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our global data infrastructure will be built, you need to pay close attention to detail and maintain a…	Baltimore	170000.0
813	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Baltimore	66560.0
814	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.	Baltimore	177500.0
815	IT & Cyber Security Project Manager - Space Programs	Greenbelt, MD 20770	Peraton	Up to $185,120 a year	WSC and GSFC serve as an interface for distributing satellite data to control centers and scientists who then use the daily influx of data to expand our ever…	Baltimore	185120.0
816	Director Solar System Exploration Division	Temporarily Remote in Greenbelt, MD 20771	US Goddard Space Flight Center	$176,301 - $188,302 a year	Responsible for the publishing of conclusions based on this experimental and theoretical research and archive and disseminate the data.	Baltimore	182301.5
817	CBRN Trainer & Development Specialist	Middle River, MD 21220	L2 Defense, INC	$70,000 - $85,000 a year	Review manuals and data to ensure editorial and format consistency.We are currently seeking an experienced CBRN Trainer/Development Specialist that possesses…	Baltimore	77500.0
818	Business Intelligence Engineer	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$100,000 - $220,000 a year	Building expertise around our client's data and helping grow this data gene.Experience providing technical leadership and mentoring other engineers for the…	Baltimore	160000.0
819	Senior Fullstack Engineer at Rent-to-Own Home Startup	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$120,000 - $190,000 a year	Consumer experience - Our client wants to make finding and buying your next home easier than renting.This involves building an intuitive application experience…	Baltimore	155000.0
820	Principal Statistical Programmer	United States	AL2S3 LTD	$150,000 - $170,000 a year	They are proud of their culture of engagement and accountability that rewards employees for innovative thinking and achievement of key objectives.	Baltimore	160000.0
821	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…	Baltimore	262000.0
822	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	Molly Williams is working exclusively with an award winning, globally recognised CRO who are looking for a Senior statistical Programmer.	Baltimore	150000.0
823	Senior Statistical Programmer	United States	AL2S3 LTD	Up to $150,000 a year	You will be working with some of the most advanced analytics.	Baltimore	150000.0
824	Junior Machine Learning Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Baltimore	66560.0
825	Staff Data Scientist - REMOTE USA	Remote in Annapolis, MD	Mandiant	$160,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.	Baltimore	160000.0
826	Data Mining Analyst	Linthicum, MD 21090	Peraton	From $105,789 a year	Activities may include data quality engineering, metadata consolidation and integration, metamodel development and maintenance, repository management, data…	Baltimore	105789.0
827	Senior Data Scientist/Machine Learning Engineer	Remote in Baltimore, MD 21201+3 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Work with cross-functional teams, including lawyers, data protection and security researchers.Gather training data, and train and evaluate state-of-the-art…	Baltimore	170000.0
828	Data Plane Engineer	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Troubleshooting and optimizing data path.Architect the next generation 5G base station on a chip’s data path.Strong programming experience in c/c++.	Baltimore	170000.0
829	1629 Data Architect	Annapolis, MD	Infoorigin inc	$125,000 - $195,000 a year	Responsibilities: Install and configure information systems to ensure functionality Analyze structural requirements for new software and applications Migrate…	Baltimore	160000.0
830	Sr. Research Data Analyst	Baltimore, MD 21205 (Dunbar-Broadway area)	Johns Hopkins University	$53,020 - $72,930 a year	Experience in data management of high-dimensional or longitudinal data is preferred.Carry out data analyses for large genomic and epidemiologic datasets,…	Baltimore	62975.0
831	DATA SCIENTIST	Fort Meade, MD	US Defense Information Systems Agency	$106,823 - $138,868 a year	Help This job is open to The public U.S. Citizens, Nationals or those who owe allegiance to the U.S. Clarification from the agency All U.S.…	Baltimore	122845.5
832	Principal Data Scientist/Sr. Principal Data Scientist	Remote in Linthicum, MD	Northrop Grumman	$106,500 - $159,700 a year	Experience managing databases, data structures, data governance.Assess the effectiveness and accuracy of data sources and data gathering techniques.	Baltimore	133100.0
833	Cyber Engineer (Engineer Machine Learning 3)	Remote in Annapolis Junction, MD	Alion Science and Technology	$135,000 - $185,000 a year	Employment Type: Full Time/Salaried/Exempt.Security Clearance: Ability to Obtain.Employee Referral Bonus Amount: ERP Amount: N/A.	Baltimore	160000.0
834	Data Engineer I	Baltimore, MD	The Travelers Companies, Inc.	$98,600 - $162,600 a year	Incorporate core data management competencies including data governance, data security and data quality.Four years of data engineering or equivalent experience…	Baltimore	130600.0
835	Manager, Artificial Intelligence (AI) Engineering	Remote in Linthicum, MD	Northrop Grumman	$137,000 - $205,600 a year	Works in problem spaces including large sets of structured and unstructured data using applications in pattern recognition, target detection and tracking,…	Baltimore	171300.0
836	Machine Learning Software Engineer - Columbia	Columbia, MD 21046	In-Depth Engineering Corporation	$70,000 - $110,000 a year	Experience with data gathering and preparation for ML models.Experience building production-ready data pipelines that feed ML models.	Baltimore	90000.0
837	Senior Data Scientist - REMOTE USA	Remote in Columbia, MD	Mandiant	$140,000 a year	Identify data sources; iterate and grow datasets over time.Explore and analyze data; perform ad-hoc analyses to answer targeted questions.	Baltimore	140000.0
838	Cyber Engineer (Engineer Machine Learning 3)- 5821	Remote in Annapolis Junction, MD 20701	Huntington Ingalls Industries Inc.	$135,000 - $185,000 a year	Employment Type: Full Time/Salaried/Exempt.Security Clearance: Ability to Obtain.Employee Referral Bonus Amount: ERP Amount: N/A.	Baltimore	160000.0
839	Principal Data Scientist/Sr. Principal Data Scientist	Linthicum, MD	Northrop Grumman	$106,500 - $159,700 a year	About this position: We are seeking a data scientist/analyst who will make significant and ongoing contributions to the maturation of our data driven processes.	Baltimore	133100.0
840	Principal Research Scientist - RF/Machine Learning	College Park, MD 20740	Peraton Labs	Up to $176,613 a year	The candidate will be responsible for leading the design, development, and prototyping of RF machine learning algorithms.	Baltimore	176613.0
841	Senior Data Mining Specialist	Elkridge, MD	Accenture Federal Services	Up to $10,000 a month	May use Columbo, the DAD, and Splunk to triage, augment, share cyber threat data.Refer a qualified candidate and earn up to $10K.	Baltimore	120000.0
842	Head of Machine Learning - Document Analysis and NLP	Remote in Baltimore, MD 21201+9 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…	Baltimore	170000.0
843	Applied Research Mathematician, TS/SCI with FS Poly	Fort Meade, MD	Ops Tech Alliance	$80,000 - $250,000 a year	APPLIED RESEARCH MATHEMATICIAN TS/SCI with FS Polygraph *.Level 1: BS and 2+ Years.Level 2: BS and 5+ Years OR MS and 3+ years OR PhD and 2+ years.	Baltimore	165000.0
844	Sr. Research Data Analyst	Baltimore, MD 21287 (Dunbar-Broadway area)	Johns Hopkins University	$53,020 - $72,930 a year	Perform quality assurance on data.Create and maintain data dictionaries for datasets.Train interviewers on performing data entry into REDCap.	Baltimore	62975.0
845	Principal Research Scientist - RF/Machine Learning	College Park, MD 20740	Peraton Labs	Up to $176,613 a year	Peraton drives missions of consequence spanning the globe and extending to the farthest reaches of the galaxy. As the world’s leading mission capability…	Baltimore	176613.0
846	Biostatistician	Baltimore, MD 21224 (Bayview area)	Johns Hopkins University	$53,020 - $72,930 a year	The Department of Psychiatry and Behavioral Sciences is seeking a Data Scientist who will build and maintain healthcare datasets and provide statistical…	Baltimore	62975.0
847	Manager, Artificial Intelligence (AI) Engineering	Remote in Linthicum, MD	Northrop Grumman	$137,000 - $205,600 a year	Requisition ID: R10041990 Category: Engineering Location: Linthicum, Maryland, United States of America Citizenship Required: United States Citizenship…	Baltimore	171300.0
848	Data Scientist (Predictive Modeling)	Fort Meade, MD	WWC Global	$135,000 - $145,000 a year	WWC Global is seeking a Data Scientist to support the Defense Counterintelligence and Security Agency's Background Investigations Directorate (DCSA BI). The…	Baltimore	140000.0
849	Data Scientist (Predictive Modeling)	Fort Meade, MD	WWC Global	$135,000 - $145,000 a year	Working with multiple data technicians, data scientists, and program analysts to assist and sustain the construction of data modeling projects.	Baltimore	140000.0
850	ML Engineer at Sleep Startup	Remote in Baltimore, MD 21201+3 locations	Recruiting From Scratch	$180,000 - $250,000 a year	Orchestrate large scale machine learning data pipelines (experience with Prefect, Airlflow, Luigi, or similar framework will be helpful).	Baltimore	215000.0
851	Senior Business/Data Analyst	Remote in Bowie, MD 20715	Inovalon	$105,000 - $115,000 a year	Must have data integration knowledge.Develop and define data and project requirements, applying judgement, statistical tests, and data analysis as required;	Baltimore	110000.0
852	Head of Machine Learning - Document Analysis and NLP	Remote in Baltimore, MD 21201+5 locations	Recruiting From Scratch	$140,000 - $200,000 a year	Given you are constructing the foundation on which our client's global data infrastructure will be built, you need to pay close attention to detail and maintain…	Baltimore	170000.0
853	Software Engineer II Machine Learning and AI	Annapolis Junction, MD	Prodigy One, LLC	$196,750 - $212,000 a year	By combining unparalleled experience and capabilities, our company provides big data, cloud development, and enterprise management solutions.	Baltimore	204375.0
854	Applied Research Mathematician, TS/SCI with FS Poly	Fort Meade, MD	Ops Tech Alliance	$80,000 - $250,000 a year	APPLIED RESEARCH MATHEMATICIAN TS/SCI with FS Polygraph *.Ops Tech Alliance (OTA)* is seeking Applied Research Mathematicians, highly proficient at working on…	Baltimore	165000.0
855	Data Plane Engineer	Remote in Baltimore, MD 21201+1 location	Recruiting From Scratch	$140,000 - $200,000 a year	Who is Recruiting from Scratch: Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware…	Baltimore	170000.0
856	Director, Analytics, Data Science	Baltimore, MD 21201 (Downtown area)	Merkle	$158,000 - $198,000 a year	Company Description Merkle is a leading data-driven, technology-enabled, global performance marketing agency that specializes in the delivery of unique,…	Baltimore	178000.0
857	Software Engineer II Machine Learning and AI	Annapolis Junction, MD	Prodigy One, LLC	$196,750 - $212,000 a year	Prodigy One, LLC. is a software engineering and consulting firm providing more than 45 years of service to state and federal customers. By combining…	Baltimore	204375.0
858	Statistician/Programmer	Beltsville, MD 20705	Information Management Services, Inc	From $55,000 a year	*Looking for a collaborative, fun company with room for growth?* IMS, Inc. is a recognized leader in the biomedical IT field, with clients including the NCI,…	Baltimore	55000.0
859	Machine Learning Software Engineer - Columbia	Columbia, MD 21046	In-Depth Engineering Corporation	$70,000 - $110,000 a year	Salary Range: $70,000 - $110,000+ Generous PTO, 401K, Health Insurance Package In-Depth Engineering seeks software engineers with interest and knowledge in…	Baltimore	90000.0
860	Applied Research Mathematician, TS/SCI with FS Poly	Fort Meade, MD	Ops Tech Alliance	$80,000 - $250,000 a year	*APPLIED RESEARCH MATHEMATICIAN TS/SCI with FS Polygraph * _(Contingent Upon Contract Award)_ *Ops Tech Alliance (OTA)* is seeking Applied Research…	Baltimore	165000.0
861	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.	Baton Rouge	125491.0
862	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Baton Rouge	170000.0
863	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.	Baton Rouge	310000.0
864	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Baton Rouge	66560.0
865	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.	Baton Rouge	183000.0
866	Marketing Data Science Manager	United States	Indeed	$145,000 - $210,000 a year	Participate and help hire, onboard, and coach marketing data scientists.Working knowledge of algorithms and data structures.	Baton Rouge	177500.0
867	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…	Baton Rouge	137500.5
868	Data Scientist - Entry to Expert Level Virtual Hiring Event	United States	National Security Agency (NSA)	$74,682 - $176,300 a year	Passing this examination is a requirement in order to be considered for selection into a data scientist position.	Baton+Rouge	125491.0
869	Senior Data Scientist - International	United States	Indeed	$123,000 - $179,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Baton+Rouge	151000.0
870	Senior Data Scientist	United States	Good Parents Inc.	From $110,000 a year	REST APIs, data pipelines and annotation tools.Experience or familiarity with data exploration, analysis and visualization tools.	Baton+Rouge	110000.0
871	Director, Data Science- SMB Labs	Remote in United States	Indeed	$214,000 - $310,000 a year	In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to…	Baton+Rouge	262000.0
872	Junior Data Science Engineer	United States	Enhance IT	From $32 an hour	Experience with command-line scripting, data structures and algorithms and ability to work in a Linux environment, processing large amounts of data in a cloud…	Baton+Rouge	66560.0
873	Senior Data Engineer	Remote in United States	SAIC	$125,001 - $150,000 a year	The data engineer also implements data tests for quality and also focuses on improving inefficient tooling and adopting new transformative technologies while…	Baton+Rouge	137500.5
874	Senior Data Scientist - Delivery Insights	Remote in United States	Indeed	$139,000 - $201,000 a year	Passion to answer Product/Engineering questions with data.Can train and deploy deep learning models for natural language data.	Baton+Rouge	170000.0
875	Director, Data Science	Remote in United States	Indeed	$253,000 - $367,000 a year	Can fish for data with SQL and Pandas.Can do small data work with Python or R.Can do big data work with Hadoop or Spark.	Baton+Rouge	310000.0
876	Data Science Manager - Search Ranking and Personalization	Remote in United States	Indeed	$149,000 - $217,000 a year	Ensure delivery of data science solutions, set expectations for what can be done and by when, and prioritize incoming projects.	Baton+Rouge	183000.0
877	Meta Data Scientist- 4196010	Walnut Creek, CA+1 location	Accenture	$39.60 - $72.74 an hour	Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with…	Berkeley	116833.6
878	Senior Data Scientist, Analytics	Hybrid remote in San Francisco, CA 94107+3 locations	Discord	$184,700 a year	If you’re passionate about data, impact, and working on an amazing team, read on!You will: Partner with teams through the full lifecycle of data analytics from…	Berkeley	184700.0
879	Senior Data Scientist	Remote in San Francisco, CA	Gtmhub	$130,000 - $160,000 a year	Maintain day-to-day data aggregation responsibilities and the integrity of the data;Familiarity with data management tools;Access to a 401(k)/Roth 401(k).	Berkeley	145000.0
880	Senior Data Scientist [Remote]	Remote in San Francisco, CA+1 location	Braintrust	$120 - $160 an hour	The candidate needs to be able to craft strong data science based initiatives and has a strong background in data analysis using signal processing, machine…	Berkeley	291200.0
881	Staff Machine Learning Engineer - Content Understanding	Remote in San Francisco, CA 94107+3 locations	Discord	$192,600 a year	 If that sounds exciting to you, read on!   What You'll Be Doing Work with product, data science and policy to formulate an ML driven product strategy…	Berkeley	192600.0
882	Senior/Lead Data Scientist	San Francisco, CA 94105 (Financial District/South Beach area)+1 location	Salesforce	$82,400 a year	Each team is made up of data scientists, engineers, growth analysts, and information management experts who are dedicated to driving product strategy with data…	Berkeley	82400.0
883	Staff Data Engineer - Machine Learning	Remote in San Francisco, CA	Iterable	$191,100 a year	Common data engineering for AI, Analytics and BI - batch and streaming.Iteratively improve data observability and quality for AI, Analytics and BI use cases.	Berkeley	191100.0
884	Associate Data & Machine Learning Engineer	San Francisco, CA	Amazon Web Services, Inc.	$82,600 a year	Hands on experience working on large-scale data science/data analytics projects.Hands on experience with building data or machine learning pipeline.	Berkeley	82600.0
885	Principal, Data Science/Analytics	San Francisco, CA 94107 (South Of Market area)	Splunk	$110,000 a year	Develop standardized data and insights to drive pricing decisions.Lead development of Tableau dashboards to surface and redefine data.	Berkeley	110000.0
886	Data Science Manager	Hybrid remote in San Francisco, CA 94107+1 location	Discord	$172,800 a year	You Will Thrive In This Role If 3+ years of leadership experience as a people manager, leading a team of 3+ data scientists.	Berkeley	172800.0
887	Machine Learning Operations Engineer	Remote in San Francisco, CA+1 location	Genentech	$111,000 - $165,000 a year	Mentor fellow data scientists/engineers in your areas of expertise.As an MLOps Engineer you will work directly with data scientists, data engineers and product…	Berkeley	138000.0
888	AI Engineer [REMOTE]	Remote in San Francisco, CA	Braintrust	$50 an hour	Work in AWS with a client's historical time series data to fulfill AI modeling to align and update existing Jupyter code.	Berkeley	104000.0
889	Director, Data Analytics - Customer Success Data Science	Remote in San Francisco, CA 94105	DocuSign	$188,350 - $233,850 a year	You will partner closely with other data scientists and analysts in product engineering, marketing, sales and finance.	Berkeley	211100.0
890	Senior Data Scientist/Machine Learning Engineer	San Francisco, CA 94105 (Financial District/South Beach area)	Salesforce	$82,400 a year	Build tools to monitor data pipeline performance, data quality and models in production.Experience working as part of a data team working with mature data…	Berkeley	82400.0
891	Data Science Manager	San Francisco, CA 94108 (Financial District/South Beach area)	VIZIO, Inc.	$175,000 a year	Proficient with modern big data technologies and CI/CD frameworks.Dig deep into high volumes of data to find anomalies and propose solutions to fix them.	Berkeley	175000.0
892	Senior Technical Recruiter, Data Science	Hybrid remote in San Francisco, CA 94107	Discord	$119,700 a year	You are able to help share strategies and extend your market expertise Develop a deep relationship with candidates by understanding their goals, values, and…	Berkeley	119700.0
893	Machine Learning Engineer	San Francisco, CA	Mercari	$141,900 a year	Working closely with Growth and Marketing teams helping design and build machine learning models utilizing massive amounts of data.	Berkeley	141900.0
894	Statistician - Research, Assessment, & Data Department (2021...	Oakland, CA 94607 (Chinatown area)	Oakland Unified School District	$89,823 - $114,649 a year	Oversee the preparation of large data sets by processing and organizing information, validating data quality, and adjusting and weighting raw data.	Berkeley	102236.0
895	Software Engineer, Machine Learning On-Device	Remote in San Francisco, CA 94104+2 locations	Grammarly, Inc.	$169,000 - $259,000 a year	Understands data structures and algorithms at a level sufficient to write performant code when working with large datasets or large incoming data streams.	Berkeley	214000.0
896	Senior HR Data Analyst - SFPUC (1823)	San Francisco, CA 94102 (Tenderloin area)	City and County of San Francisco	$105,118 - $127,738 a year	Experience integrating multiple data sources.Experience using PowerBi to create compelling and informative data visualizations.	Berkeley	116428.0
897	Senior Data Analyst, Financial Operations	Remote in San Francisco, CA 94105	DocuSign	$84,900 - $102,100 a year	Oversee forecasting data management; examine complex data to optimize the efficiency and quality of the data, resolve data quality problems, and collaborate…	Berkeley	93500.0
898	BSA Data Science	San Francisco, CA	Agama Solutions	$55 an hour	Experience in user research and data analysis.Experience with data visualization and software such as Tableau and Power BI.Experience in R and Stata.	Berkeley	114400.0
899	AI Model Development Engineer (Remote)	Remote in San Francisco Bay Area, CA	Mythic-AI	$113,000 a year	We use our expertise to adapt deep learning models to Mythic's unique hardware, provide guidance to the marketing and product teams, and implement novel…	Berkeley	113000.0
900	Principal Machine Learning Engineer	San Francisco, CA	Shipt	$124,300 a year	Strong written and verbal communication skills and the ability to explain technical topics (especially ML results and applications) to data scientists,…	Berkeley	124300.0
901	Principal Data Scientist	San Francisco, CA 94105 (Financial District/South Beach area)	Metropolitan Transportation Commission	$131,251 - $166,457 a year	Leading the work on developing the unit’s research data platforms through best practices of reproducible data science, crafting efficient and appropriate and…	Berkeley	148854.0
902	Machine Learning Engineer (Java) [Remote]	Remote in San Francisco, CA+1 location	Braintrust	$110 - $140 an hour	Experience with data engineering at scale.Design systems that can handle large volumes of data and provide robustness, resilience to failures and smart anomaly…	Berkeley	260000.0
903	Senior Product Manager, Truth Profile Marketing Decision Sci...	San Francisco, CA 94105 (Financial District/South Beach area)	Salesforce	$128,000 a year	6+ years of professional experience , preferably managing data Products from inception through launch and iteration.	Berkeley	128000.0
904	Senior Software Engineer - Machine Learning Platform	Remote in San Francisco, CA 94107	Discord	$192,600 a year	Bonus Points Experience with large-scale personalization, search, or content moderation systems Experience with open source and managed data products like Kafka…	Berkeley	192600.0
905	Engineering Manager - Machine Learning Platform	Hybrid remote in San Francisco, CA 94110	Lyft	$182,160 - $211,600 a year	We're looking for someone who is passionate about solving problems with data, building reliable ML systems, and is excited about working in a fast-paced,…	Berkeley	196880.0
906	Data Scientist (Entry-Level)	Remote in Oakland, CA 94612	GreatSchools	$85,000 - $97,000 a year	Build data visualizations to help colleagues and other stakeholders understand data and ratings methodology changes.	Berkeley	91000.0
907	Data Scientist	San Francisco, CA	Rapid Value Solutions	$80 - $100 an hour	Appropriately document data sources, methodology, and evaluation metrics through using visual tools.Job-related experience (e.g. data analytics and modeling),…	Berkeley	187200.0
908	Principal Data Scientist - Match Recommendations	San Francisco, CA 94105 (Financial District/South Beach area)	Indeed	$223,000 - $324,000 a year	Mentor and grow other software engineers and data scientists across teams.Solid knowledge of data structures and algorithms.	Berkeley	273500.0
909	Senior Data Scientist - Ranking Team	San Francisco, CA 94105 (Financial District/South Beach area)	Indeed	$147,000 - $213,000 a year	Proactively research data and identify opportunities in the data to drive the product roadmap.Helps identify ways to improve data quality and analysis.	Berkeley	180000.0
910	Sr Data Analyst	San Francisco, CA 94108 (Financial District/South Beach area)	BitTorrent	Up to $120,000 a year	Knowledge of statistics and data science concepts.Strong communication skills and comfortable presenting data clearly to audience of all levels.	Berkeley	120000.0
911	Senior Data Scientist at Rent-to-Own Startup	Remote in San Francisco, CA 94109+4 locations	Recruiting From Scratch	$120,000 - $190,000 a year	You have 3+ years of experience working in data science.Day to day, you will perform a mix of exploratory data analysis, statistical modeling, software…	Berkeley	155000.0
